year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2077,51095002637.14374,273044038650.18768,32749951500.139565,8133212086.379499,28785532272.1578,80553698540.79292,32287474592.186768,75839682417.5635,91696185695.3975,10601326582.209505,109018837211.40681,10406970116.306644,10121519488.050634
2078,52139443716.168465,278625375290.3733,33419398469.8506,8303062616.55993,29386677043.255043,82235947603.01292,32961752432.1627,77080556720.6882,94331108397.24863,10905959494.356947,112151532502.04817,10624304838.806602,10332892981.452581
2079,53171809678.55844,284142184316.44885,34081105749.499287,8471111347.324902,29981444782.16982,83900351119.65974,33628877433.60092,78296166893.98212,96979969409.37694,11212203864.801504,115300799238.57452,10839334042.59229,10542024193.73565
2080,54192455811.09186,289596364327.72516,34735301064.38464,8637408028.884089,30570011567.707264,85547401831.28284,34289047096.40844,79487778793.14719,99642730717.94362,11520055298.626236,118466592225.818,11052121386.26991,10748975037.42731
2081,55196396796.35829,294961274534.8992,35378789015.837975,8801175891.484804,31149628211.65657,87169406384.28111,34939177776.21605,80646049218.62476,102313318837.56734,11828811618.292004,121641690614.74246,11261672942.776258,10952778847.683958
2082,56184124150.76551,300239541528.0113,36011884647.1646,8962484759.366268,31720541839.98347,88767056338.23238,35579546663.42844,81772648740.30428,104991712422.25076,12138470355.911108,124826069026.80257,11468078056.73474,11153522518.51382
2083,57156114928.80874,305433714614.80804,36634893732.134445,9121402528.822495,32282992755.159084,90341024157.78429,36210423294.83434,82869164224.40385,107677890184.21332,12449029050.326498,128019702152.66765,11671423605.83836,11351290544.659657
2084,58112832148.58422,310546268094.62286,37248113047.720085,9277995221.435564,32837214624.566174,91891963739.89217,36832069764.93362,83937103027.43103,110371830893.73242,12760485247.093412,131222564752.03297,11871794068.965143,11546165087.845833
2085,59054725204.78293,315579603465.35254,37851830638.80994,9432327035.839052,33383434663.70324,93420510926.49902,37444740931.429276,84977896980.00578,113073513378.98515,13072836498.46108,134434631653.43147,12069271592.412766,11738226041.196241
2086,59982230269.53272,320536051565.49774,38446326075.13285,9584460398.052197,33921873814.330105,94927284003.05975,38048684615.0456,85992906171.0745,115782916525.8903,13386080363.354464,137655877754.04602,12263936054.304382,11927551091.873539
2087,60895770681.44648,325417874653.178,39031870700.62317,9734456010.424263,34452746917.69463,96412884183.30043,38644141793.829,86983422542.5166,118500019277.95093,13700214407.356041,140886278019.5222,12455865127.216103,12114215781.988829
