year,process_index,process_name,gwp_contribution,coef_gwp,s
2040,543,"Forest residue, processed and loaded, at landing system",1780931810709.1414,2808.9687974650556,634016231.2647749
2040,227,"Heat, Natural Gas",244706597358.64563,0.0602,4064893643831.3228
2040,358,"Electricity, coal (life cycle)",239706662162.78238,1000.9430000000001,239480831.738453
2040,522,Plastic Incineration CO2 to the atmosphere,178354476207.0444,1.0,178354476207.0444
2040,541,Steam Cracker CO2 to the atmosphere,174016739276.80002,1.0,174016739276.80002
2041,543,"Forest residue, processed and loaded, at landing system",1668665517154.0862,2528.9687974650556,659820524.0122751
2041,227,"Heat, Natural Gas",257204858851.37436,0.0602,4272505960986.285
2041,358,"Electricity, coal (life cycle)",243619121812.6964,1000.9430000000001,243389605.41479024
2041,522,Plastic Incineration CO2 to the atmosphere,187272200017.39664,1.0,187272200017.39664
2041,541,Steam Cracker CO2 to the atmosphere,182717576240.64,1.0,182717576240.64
2042,543,"Forest residue, processed and loaded, at landing system",1554578426165.3374,2248.968797465055,691240548.9651942
2042,227,"Heat, Natural Gas",269452709272.8668,0.0602,4475958625795.13
2042,358,"Electricity, coal (life cycle)",246829281836.0359,1000.9430000000001,246596741.10916993
2042,522,Plastic Incineration CO2 to the atmosphere,196189923827.74887,1.0,196189923827.74887
2042,541,Steam Cracker CO2 to the atmosphere,191418413204.48,1.0,191418413204.48
2043,543,"Forest residue, processed and loaded, at landing system",1410180339492.435,1968.9687974650549,716202481.8818709
2043,227,"Heat, Natural Gas",281988532426.2806,0.0602,4684194890802.003
2043,358,"Electricity, coal (life cycle)",249213719376.5632,1000.9430000000001,248978932.2434576
2043,522,Plastic Incineration CO2 to the atmosphere,205107647638.10107,1.0,205107647638.10107
2043,541,Steam Cracker CO2 to the atmosphere,200119250168.31998,1.0,200119250168.31998
2044,543,"Forest residue, processed and loaded, at landing system",1262236846503.228,1688.9687974650553,747341720.2246116
2044,227,"Heat, Natural Gas",294248903401.33813,0.0602,4887855538228.209
2044,358,"Electricity, coal (life cycle)",250896866927.5275,1000.9430000000001,250660494.0816085
2044,522,Plastic Incineration CO2 to the atmosphere,214025371448.45328,1.0,214025371448.45328
2044,541,Steam Cracker CO2 to the atmosphere,208820087132.15997,1.0,208820087132.15997
