year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2087,58121443191.79201,325479117757.7917,39117343480.12014,9729851172.817642,34436301069.099556,96366835807.23425,38633090183.57312,82096341905.0647,118500019277.95093,13732146111.433264,140700161801.50064,12439419278.621035,12098427767.3376
2088,58980427680.994644,330289416648.5251,39695463868.44836,9877698090.247896,34959567136.62073,97831147990.79677,39220127250.53292,83009248604.66739,121224800636.09732,14047902142.189774,143935411722.14133,12628438592.719545,12282265651.328117
2089,59826856515.97468,335029404083.8846,40265133953.2075,10023524636.762428,35475682621.88845,99275449924.57777,39799142286.0757,83901297075.36665,123957239658.53032,14364545566.598175,147179753916.44336,12814874903.185978,12463591337.428562
2090,60661099122.39248,339701148841.44025,40826602368.11438,10167386597.636677,35984844962.51056,100700294119.64687,40370356789.74328,84773532415.8129,126697315460.5652,14682073964.477068,150433163587.12363,12998799530.374405,12642474190.947134
2091,61478426740.033676,344278169942.4321,41376686526.37517,10308513461.878574,36484327133.37347,102098049245.89001,40930711390.93326,85616994226.5464,129438971639.25851,14999785501.255997,153688449706.8788,13179227391.458904,12817956132.318598
2092,62279337059.48358,348763254445.8823,41915721387.55905,10446980749.343307,36974396417.544876,103469463270.50175,41480505946.7888,86433124201.26077,132182203884.462,15317679677.461746,156945607158.08475,13356255037.057348,12990131065.4986
2093,63064313127.75181,353159107407.0318,42444032055.70259,10582861894.676914,37455312718.03204,104815263508.25305,42020032034.97668,87223291797.78816,134927007897.78249,15635755994.983313,160204630837.07465,13529976351.889597,13159090301.622833
2094,63833823779.130936,357468354290.1421,42961934069.289536,10716228304.89183,37927328761.55554,106136157191.73364,42549573182.2952,87988797857.46704,137673379392.5497,15954013957.068186,163465515654.1008,13700482628.386679,13324922630.598429
2095,64588324053.37803,361693543310.30457,43469733682.69859,10847149415.352697,38390690296.69665,107432832025.84927,43069405086.97001,88730878043.162,140421314093.78442,16272453068.318644,166728256533.29678,13867862638.267525,13487714390.718613
2096,65328255601.591965,365837147706.3468,43967728139.37012,10975692744.216328,38845636286.573524,108705956727.00844,43579795834.81196,89450706105.02213,143170807738.1665,16591072834.688057,169992848412.63953,14032202702.139364,13647549536.355211
2097,66054047080.1486,369901567946.86304,44456205936.935425,11101923945.368498,39292399096.197395,109956181547.42143,44081006109.406555,90149396982.60896,145921856074.00314,16909872763.477211,173259286243.91156,14193586757.176361,13804509703.78206
2098,66766114533.04519,373889133871.3367,44935447084.54519,11225906859.899092,39731204674.65555,111184138784.92274,44573289396.49979,90828009751.59285,148674454861.19717,17228852363.33062,176527564992.66342,14352096422.929539,13958674275.180946
2099,67464861762.99504,377802106768.2639,45405723352.62641,11347703566.155935,40162272732.26395,112390443278.71658,45056892182.74057,91487550422.8053,151428599871.21533,17548011144.232872,179797679638.176,14507811065.31961,14110120440.880245
2100,68150680691.603455,381642681392.13324,45867298515.29085,11467374428.41658,40585816912.82852,113575692891.43414,45532054148.935646,92128974601.04544,154184286887.05685,17867348617.504967,183069625173.4232,14660807858.862875,14258923259.875074
