year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large,A_total_kg
2062,1521078436.1896741,8349915482.7444315,1005147588.863598,247942118.3064519,874623787.3801854,2447041843.064519,966625040.4872003,2949962560.789224,1781033666.653391,209029485.53563485,2016251537.8537571,299537209.3679205,294072335.4021447,22962261092.63813
2063,1539628173.2163773,8451743720.338876,1017405486.2887638,250965802.67604277,885289931.1287241,2476883816.7604275,978413150.7370441,2985937713.9695807,1802753589.4174566,211578625.6031426,2040839971.2422175,303190102.16509026,297658583.3948537,23242288666.938595
2064,1558177910.2430806,8553571957.93332,1029663383.7139297,253989487.04563364,895956074.877263,2506725790.4563365,990201260.986888,3021912867.1499367,1824473512.1815224,214127765.67065033,2065428404.6306782,306842994.96226,301244831.3875628,23522316241.23906
2065,1576727647.2697842,8655400195.527765,1041921281.1390955,257013171.41522452,906622218.6258018,2536567764.152245,1001989371.236732,3057888020.330293,1846193434.945588,216676905.73815808,2090016838.0191386,310495887.75942975,304831079.3802719,23802343815.539528
2066,1595277384.2964876,8757228433.12221,1054179178.5642613,260036855.7848154,917288362.3743407,2566409737.848154,1013777481.4865758,3093863173.5106497,1867913357.7096539,219226045.80566582,2114605271.407599,314148780.5565995,308417327.37298095,24082371389.839996
2067,1613827121.323191,8859056670.716654,1066437075.9894271,263060540.15440625,927954506.1228795,2596251711.5440626,1025565591.7364198,3129838326.691006,1889633280.4737196,221775185.87317356,2139193704.7960594,317801673.3537693,312003575.36569005,24362398964.140453
2068,1632376858.3498943,8960884908.311098,1078694973.414593,266084224.52399713,938620649.8714184,2626093685.2399716,1037353701.9862638,3165813479.8713627,1911353203.2377853,224324325.9406813,2163782138.18452,321454566.15093905,315589823.35839915,24642426538.440926
2069,1650926595.3765976,9062713145.905542,1090952870.8397589,269107908.893588,949286793.6199572,2655935658.93588,1049141812.2361076,3201788633.0517187,1933073126.001851,226873466.00818905,2188370571.5729804,325107458.9481088,319176071.3511082,24922454112.74139
2070,1669476332.403301,9164541383.499987,1103210768.2649245,272131593.2631789,959952937.3684961,2685777632.631789,1060929922.4859514,3237763786.232075,1954793048.7659168,229422606.0756968,2212959004.961441,328760351.7452786,322762319.3438173,25202481687.04185
2071,1682461148.321993,9235821149.816097,1111791296.4625406,274248172.3218925,967419237.9924734,2706667014.218925,1069181599.6608422,3262946393.458325,1969996994.700763,231207004.1229522,2230170908.333363,331317376.70329744,325272692.9387136,25398500989.052177
2072,1695445964.2406855,9307100916.13221,1120371824.6601567,276364751.3806061,974885538.6164505,2727556395.8060613,1077433276.835733,3288129000.684574,1985200940.635609,232991402.17020762,2247382811.705285,333874401.6613163,327783066.53361005,25594520291.062504
2073,1708430780.159378,9378380682.44832,1128952352.8577728,278481330.43931973,982351839.2404277,2748445777.3931975,1085684954.0106237,3313311607.910824,2000404886.570455,234775800.21746305,2264594715.077208,336431426.6193351,330293440.12850636,25790539593.07283
2074,1721415596.0780702,9449660448.764431,1137532881.055389,280597909.49803334,989818139.8644049,2769335158.9803333,1093936631.1855145,3338494215.137073,2015608832.505301,236560198.26471847,2281806618.44913,338988451.5773539,332803813.72340274,25986558895.083157
2075,1734400411.9967625,9520940215.080542,1146113409.253005,282714488.55674696,997284440.488382,2790224540.5674696,1102188308.3604052,3363676822.3633223,2030812778.440147,238344596.31197387,2299018521.8210526,341545476.53537273,335314187.31829906,26182578197.09348
2076,1747385227.9154549,9592219981.396652,1154693937.4506211,284831067.6154606,1004750741.1123593,2811113922.154606,1110439985.535296,3388859429.589572,2046016724.374993,240128994.3592293,2316230425.192975,344102501.4933916,337824560.91319543,26378597499.10381
2077,1760370043.8341475,9663499747.712765,1163274465.6482372,286947646.6741742,1012217041.7363365,2832003303.741742,1118691662.7101867,3414042036.8158216,2061220670.3098392,241913392.40648472,2333442328.564897,346659526.4514104,340334934.5080918,26574616801.114136
2078,1773354859.7528396,9734779514.028875,1171854993.8458533,289064225.7328878,1019683342.3603137,2852892685.328878,1126943339.8850775,3439224644.042071,2076424616.2446852,243697790.45374015,2350654231.9368196,349216551.40942925,342845308.1029882,26770636103.124462
