year,process_index,process_name,gwp_contribution,abs_contribution,coef_gwp,s
2065,522,Plastic Incineration CO2 to the atmosphere,379003261939.9694,379003261939.9694,1.0,379003261939.9694
2065,541,Steam Cracker CO2 to the atmosphere,369785570963.2,369785570963.2,1.0,369785570963.2
2065,358,"Electricity, coal (life cycle)",178587637413.62775,178587637413.62775,1000.9430000000001,178419387.93080896
2066,543,"Forest residue, processed and loaded, at landing system",-1487047670106.821,1487047670106.821,-1271.0312025349442,1169953709.3511581
2066,227,"Heat, Natural Gas",534733325171.5627,534733325171.5627,0.0602,8882613374942.902
2066,522,Plastic Incineration CO2 to the atmosphere,383462123845.1455,383462123845.1455,1.0,383462123845.1455
2066,541,Steam Cracker CO2 to the atmosphere,374135989445.12,374135989445.12,1.0,374135989445.12
2066,358,"Electricity, coal (life cycle)",170620615727.63333,170620615727.63333,1000.9430000000001,170459872.06827292
2067,543,"Forest residue, processed and loaded, at landing system",-1582521758844.5776,1582521758844.5776,-1351.0312025349442,1171343604.70379
2067,227,"Heat, Natural Gas",541495798613.96185,541495798613.96185,0.0602,8994946820829.932
2067,522,Plastic Incineration CO2 to the atmosphere,387920985750.3216,387920985750.3216,1.0,387920985750.3216
2067,541,Steam Cracker CO2 to the atmosphere,378486407927.04004,378486407927.04004,1.0,378486407927.04004
2067,358,"Electricity, coal (life cycle)",162424591589.05923,162424591589.05923,1000.9430000000001,162271569.49902165
2068,543,"Forest residue, processed and loaded, at landing system",-1695496250062.509,1695496250062.509,-1431.0312025349442,1184807324.2980926
2068,227,"Heat, Natural Gas",547719888253.20306,547719888253.20306,0.0602,9098337014172.809
2068,522,Plastic Incineration CO2 to the atmosphere,392379847655.49774,392379847655.49774,1.0,392379847655.49774
2068,541,Steam Cracker CO2 to the atmosphere,382836826408.96,382836826408.96,1.0,382836826408.96
2068,358,"Electricity, coal (life cycle)",154036965691.61273,154036965691.61273,1000.9430000000001,153891845.68113542
2069,543,"Forest residue, processed and loaded, at landing system",-1791744595258.0977,1791744595258.0977,-1511.0312025349442,1185776039.7351303
2069,227,"Heat, Natural Gas",554501142525.9379,554501142525.9379,0.0602,9210982433985.68
2069,522,Plastic Incineration CO2 to the atmosphere,396838709560.6738,396838709560.6738,1.0,396838709560.6738
2069,541,Steam Cracker CO2 to the atmosphere,387187244890.88,387187244890.88,1.0,387187244890.88
