Flow name,Process,Type of flow,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Other Non-food Rigid","Flakes, PET Other Non-food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Other Non-food Rigid","Depolymerization, Enzymatic Hydrolysis, PET Other Non-food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PET Other Non-food Rigid","Mechanical Recycling, PET Other Non-food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Bottles","Flakes, PP Food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Bottles","Mechanical Recycling, PP Food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Bottles","Pyrolysis, PP Food Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Packaging Film (med-large format)","Flakes, PP Food Packaging Film (med-large format)",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Packaging Film (med-large format)","Pyrolysis, PP Food Packaging Film (med-large format)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Packaging Film (med-large format)","Mechanical Recycling, PP Food Packaging Film (med-large format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Packaging Film (small format)","Flakes, PP Food Packaging Film (small format)",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Packaging Film (small format)","Mechanical Recycling, PP Food Packaging Film (small format) (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Food Packaging Film (small format)","Pyrolysis, PP Food Packaging Film (small format)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Non-food Bottles","Flakes, PP Non-food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Non-food Bottles","Mechanical Recycling, PP Non-food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
