index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
1287,false,854dd1a0-00d8-3f1c-a134-26f136cd3fd7,Ammonia,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1288,true,89095462-b368-33cc-9d23-fe9d0d69201c,"Grinding aids, at plant",Technosphere flows/CUTOFF Flows,kg,product,,,
1289,false,a81e5ff3-ddea-3521-854e-3d0ec0912182,Methane,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1290,true,13d77da3-d8ff-3842-a905-fe55e0f22d30,"Filter bags, at plant",Technosphere flows/CUTOFF Flows,kg,product,,,
1291,false,362766f2-92c0-4ef4-a11f-86257a266609,"Disposal, cement kiln dust, in residual material landfill",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1292,false,78eb12d7-d09b-3d36-8d35-b42a1e3cda24,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1293,false,624b6420-78ba-4b8b-a374-fbc1be60a081,"Disposal, chemical waste, unspecified, to sanitary landfill",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1294,false,a698c444-5851-4842-b457-32a04d760e59,"Disposal, inert solid waste, to inert material landfill",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1295,true,7890051d-8889-3c60-8065-9bbc3791dbab,Nitrogen,Elementary flows/resource/air/subterranean,kg,elementary,,,
1296,false,3349b083-3e67-3533-8b77-ffb62f9f22d4,"Total oil and grease, less total petroleum hydrocarbons (TPH)",Elementary flows/emission/water,kg,elementary,,,
1297,false,9ab45d94-d670-366d-8215-0b743a9fa104,Orthophosphate,Elementary flows/emission/air,kg,elementary,,,
1298,false,1f799425-898b-34ee-9bff-250472b98b2e,"1,3-Butadiene",Elementary flows/emission/water,kg,elementary,,,
1299,false,01894008-2dcb-3311-a718-850bdc1ccbc7,Aniline,Elementary flows/emission/water,kg,elementary,,,
1300,false,a98db096-441e-4783-900f-b6693ecde0c9,"Disposal, hazardous waste, to incineration with energy recovery",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1301,false,28c8bbdf-1a2b-3c96-baf8-d965df47c0c6,Hexachlorobenzene,Elementary flows/emission/air,kg,elementary,,,
1302,false,965958b3-8368-3395-a55d-f6f819e40587,Copper,Elementary flows/emission/water,kg,elementary,,,
1303,false,8cd61983-018e-388a-88f1-dd026900572a,Aniline,Elementary flows/emission/air,kg,elementary,,,
